,st_cty_code,county,state,cases
682,1700151,Pope County,IL,0
683,1700153,Pulaski County,IL,0
684,1700155,Putnam County,IL,0
685,1700157,Randolph County,IL,0
686,1700159,Richland County,IL,0
687,1700161,Rock Island County,IL,6
688,1700163,St. Clair County,IL,0
689,1700165,Saline County,IL,2
690,1700167,Sangamon County,IL,2
691,1700169,Schuyler County,IL,0
692,1700171,Scott County,IL,0
693,1700173,Shelby County,IL,2
694,1700175,Stark County,IL,0
695,1700177,Stephenson County,IL,5
696,1700179,Tazewell County,IL,3
697,1700181,Union County,IL,0
698,1700183,Vermilion County,IL,0
699,1700185,Wabash County,IL,1
700,1700187,Warren County,IL,0
701,1700189,Washington County,IL,0
702,1700191,Wayne County,IL,0
703,1700193,White County,IL,0
704,1700195,Whiteside County,IL,0
705,1700197,Will County,IL,11
706,1700199,Williamson County,IL,0
707,1700201,Winnebago County,IL,10
708,1700203,Woodford County,IL,4
709,1700999,Illinois,IL,0
710,18001,Adams County,IN,1
711,18003,Allen County,IN,1
712,18005,Bartholomew County,IN,2
713,18007,Benton County,IN,0
714,18009,Blackford County,IN,0
715,180011,Boone County,IN,1
716,180013,Brown County,IN,1
717,180015,Carroll County,IN,1
718,180017,Cass County,IN,2
719,180019,Clark County,IN,2
720,180021,Clay County,IN,1
721,180023,Clinton County,IN,0
722,180025,Crawford County,IN,1
723,180027,Daviess County,IN,0
724,180029,Dearborn County,IN,2
725,180031,Decatur County,IN,0
726,180033,DeKalb County,IN,0
727,180035,Delaware County,IN,0
728,180037,Dubois County,IN,0
729,180039,Elkhart County,IN,3
730,180041,Fayette County,IN,0
731,180043,Floyd County,IN,3
732,180045,Fountain County,IN,0
733,180047,Franklin County,IN,1
734,180049,Fulton County,IN,5
735,180051,Gibson County,IN,1
736,180053,Grant County,IN,0
737,180055,Greene County,IN,1
738,180057,Hamilton County,IN,5
739,180059,Hancock County,IN,1
740,180061,Harrison County,IN,0
741,180063,Hendricks County,IN,0
742,180065,Henry County,IN,0
743,180067,Howard County,IN,1
744,180069,Huntington County,IN,0
745,180071,Jackson County,IN,1
746,180073,Jasper County,IN,2
747,180075,Jay County,IN,0
748,180077,Jefferson County,IN,2
749,180079,Jennings County,IN,1
750,180081,Johnson County,IN,2
751,180083,Knox County,IN,0
752,180085,Kosciusko County,IN,0
753,180087,LaGrange County,IN,0
754,180089,Lake County,IN,14
755,180091,LaPorte County,IN,11
756,180093,Lawrence County,IN,3
757,180095,Madison County,IN,0
758,180097,Marion County,IN,6
759,180099,Marshall County,IN,8
760,1800101,Martin County,IN,0
761,1800103,Miami County,IN,1
762,1800105,Monroe County,IN,4
763,1800107,Montgomery County,IN,2
764,1800109,Morgan County,IN,1
765,1800111,Newton County,IN,0
766,1800113,Noble County,IN,0
767,1800115,Ohio County,IN,0
768,1800117,Orange County,IN,1
769,1800119,Owen County,IN,2
770,1800121,Parke County,IN,2
771,1800123,Perry County,IN,0
772,1800125,Pike County,IN,0
773,1800127,Porter County,IN,20
774,1800129,Posey County,IN,0
775,1800131,Pulaski County,IN,4
776,1800133,Putnam County,IN,3
777,1800135,Randolph County,IN,0
778,1800137,Ripley County,IN,2
779,1800139,Rush County,IN,0
780,1800141,St. Joseph County,IN,21
781,1800143,Scott County,IN,0
782,1800145,Shelby County,IN,0
783,1800147,Spencer County,IN,1
784,1800149,Starke County,IN,0
785,1800151,Steuben County,IN,0
